Trading simulation for AUDUSD:
  Short position opened at 1.65683, closed at 1.65775, profit: -0.50, balance: 9901.96
  Short position opened at 1.65683, closed at 1.65775, profit: -0.50, balance: 9901.46
  Short position opened at 1.65694, closed at 1.65845, profit: -0.50, balance: 9900.96
  Short position opened at 1.65718, closed at 1.65845, profit: -0.50, balance: 9900.46
  Short position opened at 1.65775, closed at 1.65880, profit: -0.50, balance: 9899.96
  Short position opened at 1.65845, closed at 1.65891, profit: -0.28, balance: 9899.68
  Short position opened at 1.65856, closed at 1.65995, profit: -0.50, balance: 9899.18
  Short position opened at 1.65880, closed at 1.65995, profit: -0.50, balance: 9898.68
  Short position opened at 1.65880, closed at 1.65995, profit: -0.50, balance: 9898.18
  Short position opened at 1.65880, closed at 1.65995, profit: -0.50, balance: 9897.68
  Short position opened at 1.65891, closed at 1.65995, profit: -0.50, balance: 9897.18
  Short position opened at 1.65995, closed at 1.66204, profit: -0.50, balance: 9896.68
  Short position opened at 1.66030, closed at 1.66204, profit: -0.50, balance: 9896.18
  Short position opened at 1.66042, closed at 1.66204, profit: -0.50, balance: 9895.68
  Short position opened at 1.66065, closed at 1.66204, profit: -0.50, balance: 9895.18
  Short position opened at 1.66204, closed at 1.66308, profit: -0.50, balance: 9894.68
  Short position opened at 1.66250, closed at 1.66574, profit: -0.50, balance: 9894.18
  Short position opened at 1.66308, closed at 1.66574, profit: -0.50, balance: 9893.68
  Short position opened at 1.66331, closed at 1.66574, profit: -0.50, balance: 9893.18
  Short position opened at 1.66331, closed at 1.66574, profit: -0.50, balance: 9892.68
  Short position opened at 1.66574, closed at 1.66667, profit: -0.50, balance: 9892.18
  Short position opened at 1.66586, closed at 1.66678, profit: -0.50, balance: 9891.68
  Short position opened at 1.66644, closed at 1.66713, profit: -0.42, balance: 9891.27
  Short position opened at 1.66655, closed at 1.66713, profit: -0.35, balance: 9890.92
  Short position opened at 1.66655, closed at 1.66736, profit: -0.49, balance: 9890.43
  Short position opened at 1.66667, closed at 1.66736, profit: -0.42, balance: 9890.02
  Short position opened at 1.66678, closed at 1.66794, profit: -0.50, balance: 9889.52
  Short position opened at 1.66713, closed at 1.66794, profit: -0.49, balance: 9889.03
  Short position opened at 1.66713, closed at 1.66910, profit: -0.50, balance: 9888.53
  Short position opened at 1.66736, closed at 1.66910, profit: -0.50, balance: 9888.03
  Short position opened at 1.66736, closed at 1.66910, profit: -0.50, balance: 9887.53
  Short position opened at 1.66794, closed at 1.66910, profit: -0.50, balance: 9887.03
  Short position opened at 1.66794, closed at 1.66910, profit: -0.50, balance: 9886.53
  Short position opened at 1.66910, closed at 1.67106, profit: -0.50, balance: 9886.03
  Short position opened at 1.66910, closed at 1.67106, profit: -0.50, balance: 9885.53
  Short position opened at 1.66921, closed at 1.67106, profit: -0.50, balance: 9885.03
  Short position opened at 1.66968, closed at 1.67106, profit: -0.50, balance: 9884.53
  Short position opened at 1.67106, closed at 1.67280, profit: -0.50, balance: 9884.03
  Short position opened at 1.67280, closed at 1.67384, profit: -0.50, balance: 9883.53
  Short position opened at 1.67292, closed at 1.67384, profit: -0.50, balance: 9883.03
  Short position opened at 1.67384, closed at 1.67674, profit: -0.50, balance: 9882.53
  Short position opened at 1.67407, closed at 1.67674, profit: -0.50, balance: 9882.03
  Short position opened at 1.67407, closed at 1.67674, profit: -0.50, balance: 9881.53
  Short position opened at 1.67419, closed at 1.67674, profit: -0.50, balance: 9881.03
  Short position opened at 1.67674, closed at 1.67720, profit: -0.28, balance: 9880.75
  Short position opened at 1.67674, closed at 1.67720, profit: -0.28, balance: 9880.48
  Short position opened at 1.67697, closed at 1.67731, profit: -0.21, balance: 9880.27
  Short position opened at 1.67697, closed at 1.67743, profit: -0.28, balance: 9879.99
  Short position opened at 1.67720, closed at 1.67813, profit: -0.50, balance: 9879.49
  Short position opened at 1.67720, closed at 1.67813, profit: -0.50, balance: 9878.99
  Short position opened at 1.67720, closed at 1.67813, profit: -0.50, balance: 9878.49
  Short position opened at 1.67731, closed at 1.67824, profit: -0.50, balance: 9877.99
  Short position opened at 1.67743, closed at 1.67836, profit: -0.50, balance: 9877.49
  Short position opened at 1.67813, closed at 1.67905, profit: -0.50, balance: 9876.99
  Short position opened at 1.67824, closed at 1.67905, profit: -0.48, balance: 9876.51
  Short position opened at 1.67824, closed at 1.67928, profit: -0.50, balance: 9876.01
  Short position opened at 1.67824, closed at 1.67928, profit: -0.50, balance: 9875.51
  Short position opened at 1.67836, closed at 1.67928, profit: -0.50, balance: 9875.01
  Short position opened at 1.67905, closed at 1.68056, profit: -0.50, balance: 9874.51
  Short position opened at 1.67905, closed at 1.68056, profit: -0.50, balance: 9874.01
  Short position opened at 1.67928, closed at 1.68056, profit: -0.50, balance: 9873.51
  Short position opened at 1.67928, closed at 1.68056, profit: -0.50, balance: 9873.01
  Short position opened at 1.68056, closed at 1.68148, profit: -0.50, balance: 9872.51
  Short position opened at 1.68067, closed at 1.68148, profit: -0.48, balance: 9872.03
  Short position opened at 1.68113, closed at 1.68148, profit: -0.21, balance: 9871.82
  Short position opened at 1.68113, closed at 1.68160, profit: -0.28, balance: 9871.55
  Short position opened at 1.68113, closed at 1.68171, profit: -0.34, balance: 9871.20
  Short position opened at 1.68148, closed at 1.68183, profit: -0.21, balance: 9871.00
  Short position opened at 1.68148, closed at 1.68194, profit: -0.28, balance: 9870.72
  Short position opened at 1.68148, closed at 1.68194, profit: -0.28, balance: 9870.44
  Short position opened at 1.68160, closed at 1.68252, profit: -0.50, balance: 9869.94
  Short position opened at 1.68171, closed at 1.68322, profit: -0.50, balance: 9869.44
  Short position opened at 1.68183, closed at 1.68322, profit: -0.50, balance: 9868.94
  Short position opened at 1.68194, closed at 1.68322, profit: -0.50, balance: 9868.44
  Short position opened at 1.68194, closed at 1.68322, profit: -0.50, balance: 9867.94
  Short position opened at 1.68252, closed at 1.68380, profit: -0.50, balance: 9867.44
  Short position opened at 1.68322, closed at 1.68565, profit: -0.50, balance: 9866.94
  Short position opened at 1.68322, closed at 1.68565, profit: -0.50, balance: 9866.44
  Short position opened at 1.68333, closed at 1.68565, profit: -0.50, balance: 9865.94
  Short position opened at 1.68380, closed at 1.68565, profit: -0.50, balance: 9865.44
  Short position opened at 1.68565, closed at 1.68657, profit: -0.50, balance: 9864.94
  Short position opened at 1.68565, closed at 1.68657, profit: -0.50, balance: 9864.44
  Short position opened at 1.68657, closed at 1.68750, profit: -0.50, balance: 9863.94
  Short position opened at 1.68704, closed at 1.68785, profit: -0.48, balance: 9863.46
  Short position opened at 1.68704, closed at 1.68785, profit: -0.48, balance: 9862.98
  Short position opened at 1.68715, closed at 1.68796, profit: -0.48, balance: 9862.50
  Short position opened at 1.68750, closed at 1.68796, profit: -0.27, balance: 9862.23
  Short position opened at 1.68762, closed at 1.68808, profit: -0.27, balance: 9861.95
  Short position opened at 1.68785, closed at 1.68854, profit: -0.41, balance: 9861.54
  Short position opened at 1.68785, closed at 1.68854, profit: -0.41, balance: 9861.13
  Short position opened at 1.68796, closed at 1.68866, profit: -0.41, balance: 9860.72
  Short position opened at 1.68796, closed at 1.68877, profit: -0.48, balance: 9860.24
  Short position opened at 1.68808, closed at 1.68889, profit: -0.48, balance: 9859.76
  Short position opened at 1.68854, closed at 1.68900, profit: -0.27, balance: 9859.49
  Short position opened at 1.68854, closed at 1.68924, profit: -0.41, balance: 9859.08
  Short position opened at 1.68866, closed at 1.68935, profit: -0.41, balance: 9858.67
  Short position opened at 1.68877, closed at 1.69039, profit: -0.50, balance: 9858.17
  Short position opened at 1.68889, closed at 1.69039, profit: -0.50, balance: 9857.67
  Short position opened at 1.68900, closed at 1.69039, profit: -0.50, balance: 9857.17
  Short position opened at 1.68924, closed at 1.69039, profit: -0.50, balance: 9856.67
  Short position opened at 1.68935, closed at 1.69039, profit: -0.50, balance: 9856.17
  Short position opened at 1.69039, closed at 1.69259, profit: -0.50, balance: 9855.67
  Short position opened at 1.69259, closed at 1.69306, profit: -0.27, balance: 9855.39
  Short position opened at 1.69259, closed at 1.69306, profit: -0.27, balance: 9855.12
  Short position opened at 1.69259, closed at 1.69306, profit: -0.27, balance: 9854.84
  Short position opened at 1.69271, closed at 1.69306, profit: -0.21, balance: 9854.64
  Short position opened at 1.69294, closed at 1.69317, profit: -0.14, balance: 9854.50
  Short position opened at 1.69306, closed at 1.69317, profit: -0.07, balance: 9854.43
  Short position opened at 1.69306, closed at 1.69329, profit: -0.14, balance: 9854.30
  Short position opened at 1.69306, closed at 1.69340, profit: -0.21, balance: 9854.09
  Short position opened at 1.69306, closed at 1.69352, profit: -0.27, balance: 9853.82
  Short position opened at 1.69317, closed at 1.69352, profit: -0.21, balance: 9853.61
  Short position opened at 1.69317, closed at 1.69375, profit: -0.34, balance: 9853.27
  Short position opened at 1.69329, closed at 1.69375, profit: -0.27, balance: 9853.00
  Short position opened at 1.69340, closed at 1.69375, profit: -0.21, balance: 9852.79
  Short position opened at 1.69352, closed at 1.69433, profit: -0.48, balance: 9852.32
  Short position opened at 1.69352, closed at 1.69433, profit: -0.48, balance: 9851.84
  Short position opened at 1.69375, closed at 1.69433, profit: -0.34, balance: 9851.50
  Short position opened at 1.69375, closed at 1.69549, profit: -0.50, balance: 9851.00
  Short position opened at 1.69375, closed at 1.69549, profit: -0.50, balance: 9850.50
